year,indicator_code,indicator_name,value,country_name
2024,SP.POP.GROW,population_growth_annual_pct,-0.550589519,Sri Lanka
2023,SP.POP.GROW,population_growth_annual_pct,-0.65132077,Sri Lanka
2022,SP.POP.GROW,population_growth_annual_pct,0.11277264,Sri Lanka
2021,SP.POP.GROW,population_growth_annual_pct,1.075449957,Sri Lanka
2020,SP.POP.GROW,population_growth_annual_pct,0.53062656,Sri Lanka
2019,SP.POP.GROW,population_growth_annual_pct,0.611875946,Sri Lanka
2018,SP.POP.GROW,population_growth_annual_pct,1.006431981,Sri Lanka
2017,SP.POP.GROW,population_growth_annual_pct,1.143887584,Sri Lanka
2016,SP.POP.GROW,population_growth_annual_pct,1.133277498,Sri Lanka
2015,SP.POP.GROW,population_growth_annual_pct,0.919811027,Sri Lanka
2014,SP.POP.GROW,population_growth_annual_pct,0.933207943,Sri Lanka
2013,SP.POP.GROW,population_growth_annual_pct,-2.799682733,Sri Lanka
2024,SP.POP.GROW,population_growth_annual_pct,-0.048021055,Thailand
2023,SP.POP.GROW,population_growth_annual_pct,-0.045865189,Thailand
2022,SP.POP.GROW,population_growth_annual_pct,0.011148545,Thailand
2021,SP.POP.GROW,population_growth_annual_pct,0.119758275,Thailand
2020,SP.POP.GROW,population_growth_annual_pct,0.166540795,Thailand
2019,SP.POP.GROW,population_growth_annual_pct,0.204609852,Thailand
2018,SP.POP.GROW,population_growth_annual_pct,0.302929452,Thailand
2017,SP.POP.GROW,population_growth_annual_pct,0.42296351,Thailand
2016,SP.POP.GROW,population_growth_annual_pct,0.451266063,Thailand
2015,SP.POP.GROW,population_growth_annual_pct,0.460976294,Thailand
2014,SP.POP.GROW,population_growth_annual_pct,0.530129864,Thailand
2013,SP.POP.GROW,population_growth_annual_pct,0.587325699,Thailand
2024,SP.POP.GROW,population_growth_annual_pct,0.631267006,Viet Nam
2023,SP.POP.GROW,population_growth_annual_pct,0.671429251,Viet Nam
2022,SP.POP.GROW,population_growth_annual_pct,0.750756665,Viet Nam
2021,SP.POP.GROW,population_growth_annual_pct,0.868883561,Viet Nam
2020,SP.POP.GROW,population_growth_annual_pct,0.927434296,Viet Nam
2019,SP.POP.GROW,population_growth_annual_pct,0.968366699,Viet Nam
2018,SP.POP.GROW,population_growth_annual_pct,1.107913952,Viet Nam
2017,SP.POP.GROW,population_growth_annual_pct,1.244204736,Viet Nam
2016,SP.POP.GROW,population_growth_annual_pct,1.259883665,Viet Nam
2015,SP.POP.GROW,population_growth_annual_pct,1.239754031,Viet Nam
2014,SP.POP.GROW,population_growth_annual_pct,1.214234636,Viet Nam
2013,SP.POP.GROW,population_growth_annual_pct,1.180297555,Viet Nam
2024,SP.POP.TOTL,population_total,17638801,Cambodia
2023,SP.POP.TOTL,population_total,17423880,Cambodia
2022,SP.POP.TOTL,population_total,17201724,Cambodia
2021,SP.POP.TOTL,population_total,16974305,Cambodia
2020,SP.POP.TOTL,population_total,16725474,Cambodia
2019,SP.POP.TOTL,population_total,16481304,Cambodia
2018,SP.POP.TOTL,population_total,16274522,Cambodia
2017,SP.POP.TOTL,population_total,16073372,Cambodia
2016,SP.POP.TOTL,population_total,15852803,Cambodia
2015,SP.POP.TOTL,population_total,15623251,Cambodia
2014,SP.POP.TOTL,population_total,15396772,Cambodia
2013,SP.POP.TOTL,population_total,15170208,Cambodia
2024,SP.POP.TOTL,population_total,283487931,Indonesia
2023,SP.POP.TOTL,population_total,281190067,Indonesia
2022,SP.POP.TOTL,population_total,278830529,Indonesia
2021,SP.POP.TOTL,population_total,276758053,Indonesia
2020,SP.POP.TOTL,population_total,274814866,Indonesia
2019,SP.POP.TOTL,population_total,272489381,Indonesia
2018,SP.POP.TOTL,population_total,269951846,Indonesia
2017,SP.POP.TOTL,population_total,267346658,Indonesia
2016,SP.POP.TOTL,population_total,264627418,Indonesia
2015,SP.POP.TOTL,population_total,261799249,Indonesia
2014,SP.POP.TOTL,population_total,258877399,Indonesia
2013,SP.POP.TOTL,population_total,255852467,Indonesia
2024,SP.POP.TOTL,population_total,7769819,Lao PDR
2023,SP.POP.TOTL,population_total,7664993,Lao PDR
2022,SP.POP.TOTL,population_total,7559007,Lao PDR
2021,SP.POP.TOTL,population_total,7453194,Lao PDR
2020,SP.POP.TOTL,population_total,7346533,Lao PDR
2019,SP.POP.TOTL,population_total,7237636,Lao PDR
2018,SP.POP.TOTL,population_total,7128045,Lao PDR
2017,SP.POP.TOTL,population_total,7018147,Lao PDR
2016,SP.POP.TOTL,population_total,6908802,Lao PDR
2015,SP.POP.TOTL,population_total,6801645,Lao PDR
2014,SP.POP.TOTL,population_total,6703172,Lao PDR
2013,SP.POP.TOTL,population_total,6611385,Lao PDR
2024,SP.POP.TOTL,population_total,35557673,Malaysia
2023,SP.POP.TOTL,population_total,35126298,Malaysia
2022,SP.POP.TOTL,population_total,34695493,Malaysia
2021,SP.POP.TOTL,population_total,34282399,Malaysia
2020,SP.POP.TOTL,population_total,33889558,Malaysia
2019,SP.POP.TOTL,population_total,33440596,Malaysia
2018,SP.POP.TOTL,population_total,32910967,Malaysia
2017,SP.POP.TOTL,population_total,32355644,Malaysia
2016,SP.POP.TOTL,population_total,31789685,Malaysia
2015,SP.POP.TOTL,population_total,31232798,Malaysia
2014,SP.POP.TOTL,population_total,30696137,Malaysia
2013,SP.POP.TOTL,population_total,30174265,Malaysia
2024,SP.POP.TOTL,population_total,115843670,Philippines
2023,SP.POP.TOTL,population_total,114891199,Philippines
2022,SP.POP.TOTL,population_total,113964338,Philippines
2021,SP.POP.TOTL,population_total,113100950,Philippines
2020,SP.POP.TOTL,population_total,112081264,Philippines
2019,SP.POP.TOTL,population_total,110804683,Philippines
2018,SP.POP.TOTL,population_total,109465287,Philippines
2017,SP.POP.TOTL,population_total,108119693,Philippines
2016,SP.POP.TOTL,population_total,106735719,Philippines
2015,SP.POP.TOTL,population_total,105312992,Philippines
2014,SP.POP.TOTL,population_total,103767130,Philippines
2013,SP.POP.TOTL,population_total,102076336,Philippines
2024,SP.POP.TOTL,population_total,21916000,Sri Lanka
2023,SP.POP.TOTL,population_total,22037000,Sri Lanka
2022,SP.POP.TOTL,population_total,22181000,Sri Lanka
2021,SP.POP.TOTL,population_total,22156000,Sri Lanka
2020,SP.POP.TOTL,population_total,21919000,Sri Lanka
2019,SP.POP.TOTL,population_total,21803000,Sri Lanka
2018,SP.POP.TOTL,population_total,21670000,Sri Lanka
2017,SP.POP.TOTL,population_total,21453000,Sri Lanka
2016,SP.POP.TOTL,population_total,21209000,Sri Lanka
2015,SP.POP.TOTL,population_total,20970000,Sri Lanka
2014,SP.POP.TOTL,population_total,20778000,Sri Lanka
2013,SP.POP.TOTL,population_total,20585000,Sri Lanka
2024,SP.POP.TOTL,population_total,71668011,Thailand
2023,SP.POP.TOTL,population_total,71702435,Thailand
2022,SP.POP.TOTL,population_total,71735329,Thailand
2021,SP.POP.TOTL,population_total,71727332,Thailand
2020,SP.POP.TOTL,population_total,71641484,Thailand
2019,SP.POP.TOTL,population_total,71522271,Thailand
2018,SP.POP.TOTL,population_total,71376079,Thailand
2017,SP.POP.TOTL,population_total,71160187,Thailand
2016,SP.POP.TOTL,population_total,70859841,Thailand
2015,SP.POP.TOTL,population_total,70540795,Thailand
2014,SP.POP.TOTL,population_total,70216367,Thailand
2013,SP.POP.TOTL,population_total,69845114,Thailand
2024,SP.POP.TOTL,population_total,100987686,Viet Nam
2023,SP.POP.TOTL,population_total,100352192,Viet Nam
2022,SP.POP.TOTL,population_total,99680655,Viet Nam
2021,SP.POP.TOTL,population_total,98935098,Viet Nam
2020,SP.POP.TOTL,population_total,98079191,Viet Nam
2019,SP.POP.TOTL,population_total,97173776,Viet Nam
2018,SP.POP.TOTL,population_total,96237319,Viet Nam
2017,SP.POP.TOTL,population_total,95176977,Viet Nam
2016,SP.POP.TOTL,population_total,94000117,Viet Nam
2015,SP.POP.TOTL,population_total,92823254,Viet Nam
2014,SP.POP.TOTL,population_total,91679578,Viet Nam
2013,SP.POP.TOTL,population_total,90573104,Viet Nam
2024,SL.TLF.CACT.ZS,labor_force_participation_rate,82.373,Cambodia
2023,SL.TLF.CACT.ZS,labor_force_participation_rate,82.348,Cambodia
2022,SL.TLF.CACT.ZS,labor_force_participation_rate,82.338,Cambodia
2021,SL.TLF.CACT.ZS,labor_force_participation_rate,79.51,Cambodia
2020,SL.TLF.CACT.ZS,labor_force_participation_rate,82.238,Cambodia
2019,SL.TLF.CACT.ZS,labor_force_participation_rate,82.422,Cambodia
2018,SL.TLF.CACT.ZS,labor_force_participation_rate,81.911,Cambodia
2017,SL.TLF.CACT.ZS,labor_force_participation_rate,81.409,Cambodia
2016,SL.TLF.CACT.ZS,labor_force_participation_rate,81.735,Cambodia
2015,SL.TLF.CACT.ZS,labor_force_participation_rate,79.603,Cambodia
2014,SL.TLF.CACT.ZS,labor_force_participation_rate,80.293,Cambodia
2013,SL.TLF.CACT.ZS,labor_force_participation_rate,80.219,Cambodia
2024,SL.TLF.CACT.ZS,labor_force_participation_rate,67.927,Indonesia
2023,SL.TLF.CACT.ZS,labor_force_participation_rate,67.899,Indonesia
2022,SL.TLF.CACT.ZS,labor_force_participation_rate,67.018,Indonesia
2021,SL.TLF.CACT.ZS,labor_force_participation_rate,65.868,Indonesia
2020,SL.TLF.CACT.ZS,labor_force_participation_rate,67.401,Indonesia
2019,SL.TLF.CACT.ZS,labor_force_participation_rate,68.238,Indonesia
2018,SL.TLF.CACT.ZS,labor_force_participation_rate,67.652,Indonesia
2017,SL.TLF.CACT.ZS,labor_force_participation_rate,66.694,Indonesia
2016,SL.TLF.CACT.ZS,labor_force_participation_rate,66.314,Indonesia
2015,SL.TLF.CACT.ZS,labor_force_participation_rate,66.578,Indonesia
2014,SL.TLF.CACT.ZS,labor_force_participation_rate,66.624,Indonesia
2013,SL.TLF.CACT.ZS,labor_force_participation_rate,66.757,Indonesia
2024,SL.TLF.CACT.ZS,labor_force_participation_rate,65.989,Lao PDR
2023,SL.TLF.CACT.ZS,labor_force_participation_rate,65.99,Lao PDR
2022,SL.TLF.CACT.ZS,labor_force_participation_rate,66.001,Lao PDR
2021,SL.TLF.CACT.ZS,labor_force_participation_rate,64.618,Lao PDR
2020,SL.TLF.CACT.ZS,labor_force_participation_rate,62.912,Lao PDR
2019,SL.TLF.CACT.ZS,labor_force_participation_rate,62.207,Lao PDR
2018,SL.TLF.CACT.ZS,labor_force_participation_rate,60.989,Lao PDR
2017,SL.TLF.CACT.ZS,labor_force_participation_rate,59.782,Lao PDR
2016,SL.TLF.CACT.ZS,labor_force_participation_rate,59.898,Lao PDR
2015,SL.TLF.CACT.ZS,labor_force_participation_rate,60.016,Lao PDR
2014,SL.TLF.CACT.ZS,labor_force_participation_rate,60.14,Lao PDR
2013,SL.TLF.CACT.ZS,labor_force_participation_rate,60.272,Lao PDR
2024,SL.TLF.CACT.ZS,labor_force_participation_rate,66.107,Malaysia
2023,SL.TLF.CACT.ZS,labor_force_participation_rate,66.178,Malaysia
2022,SL.TLF.CACT.ZS,labor_force_participation_rate,66.223,Malaysia
2021,SL.TLF.CACT.ZS,labor_force_participation_rate,65.619,Malaysia
2020,SL.TLF.CACT.ZS,labor_force_participation_rate,65.473,Malaysia
2019,SL.TLF.CACT.ZS,labor_force_participation_rate,65.871,Malaysia
2018,SL.TLF.CACT.ZS,labor_force_participation_rate,65.574,Malaysia
2017,SL.TLF.CACT.ZS,labor_force_participation_rate,65.202,Malaysia
2016,SL.TLF.CACT.ZS,labor_force_participation_rate,65.09,Malaysia
2015,SL.TLF.CACT.ZS,labor_force_participation_rate,65.185,Malaysia
2014,SL.TLF.CACT.ZS,labor_force_participation_rate,64.962,Malaysia
2013,SL.TLF.CACT.ZS,labor_force_participation_rate,63.964,Malaysia
2024,SL.TLF.CACT.ZS,labor_force_participation_rate,61.402,Philippines
2023,SL.TLF.CACT.ZS,labor_force_participation_rate,61.42,Philippines
2022,SL.TLF.CACT.ZS,labor_force_participation_rate,61.439,Philippines
2021,SL.TLF.CACT.ZS,labor_force_participation_rate,56.471,Philippines
2020,SL.TLF.CACT.ZS,labor_force_participation_rate,54.746,Philippines
2019,SL.TLF.CACT.ZS,labor_force_participation_rate,59.444,Philippines
2018,SL.TLF.CACT.ZS,labor_force_participation_rate,58.981,Philippines
2017,SL.TLF.CACT.ZS,labor_force_participation_rate,59.141,Philippines
2016,SL.TLF.CACT.ZS,labor_force_participation_rate,61.59,Philippines
2015,SL.TLF.CACT.ZS,labor_force_participation_rate,61.405,Philippines
2014,SL.TLF.CACT.ZS,labor_force_participation_rate,62.171,Philippines
2013,SL.TLF.CACT.ZS,labor_force_participation_rate,61.446,Philippines
2024,SL.TLF.CACT.ZS,labor_force_participation_rate,48.6,Sri Lanka
2023,SL.TLF.CACT.ZS,labor_force_participation_rate,47.4,Sri Lanka
2022,SL.TLF.CACT.ZS,labor_force_participation_rate,49.727,Sri Lanka
2021,SL.TLF.CACT.ZS,labor_force_participation_rate,49.836,Sri Lanka
2020,SL.TLF.CACT.ZS,labor_force_participation_rate,50.495,Sri Lanka
2019,SL.TLF.CACT.ZS,labor_force_participation_rate,52.249,Sri Lanka
2018,SL.TLF.CACT.ZS,labor_force_participation_rate,51.721,Sri Lanka
2017,SL.TLF.CACT.ZS,labor_force_participation_rate,53.991,Sri Lanka
2016,SL.TLF.CACT.ZS,labor_force_participation_rate,53.725,Sri Lanka
2015,SL.TLF.CACT.ZS,labor_force_participation_rate,53.669,Sri Lanka
2014,SL.TLF.CACT.ZS,labor_force_participation_rate,51.599,Sri Lanka
2013,SL.TLF.CACT.ZS,labor_force_participation_rate,52.053,Sri Lanka
2024,SL.TLF.CACT.ZS,labor_force_participation_rate,67.129,Thailand
2023,SL.TLF.CACT.ZS,labor_force_participation_rate,67.814,Thailand
2022,SL.TLF.CACT.ZS,labor_force_participation_rate,67.18,Thailand
2021,SL.TLF.CACT.ZS,labor_force_participation_rate,66.952,Thailand
2020,SL.TLF.CACT.ZS,labor_force_participation_rate,67.021,Thailand
2019,SL.TLF.CACT.ZS,labor_force_participation_rate,66.94,Thailand
2018,SL.TLF.CACT.ZS,labor_force_participation_rate,67.798,Thailand
2017,SL.TLF.CACT.ZS,labor_force_participation_rate,67.525,Thailand
2016,SL.TLF.CACT.ZS,labor_force_participation_rate,68.315,Thailand
2015,SL.TLF.CACT.ZS,labor_force_participation_rate,69.269,Thailand
2014,SL.TLF.CACT.ZS,labor_force_participation_rate,69.794,Thailand
2013,SL.TLF.CACT.ZS,labor_force_participation_rate,69.97,Thailand
2024,SL.TLF.CACT.ZS,labor_force_participation_rate,73.134,Viet Nam
2023,SL.TLF.CACT.ZS,labor_force_participation_rate,73.545,Viet Nam
2022,SL.TLF.CACT.ZS,labor_force_participation_rate,74.484,Viet Nam
2021,SL.TLF.CACT.ZS,labor_force_participation_rate,73.738,Viet Nam
2020,SL.TLF.CACT.ZS,labor_force_participation_rate,74.367,Viet Nam
2019,SL.TLF.CACT.ZS,labor_force_participation_rate,76.615,Viet Nam
2018,SL.TLF.CACT.ZS,labor_force_participation_rate,77.482,Viet Nam
2017,SL.TLF.CACT.ZS,labor_force_participation_rate,77.2,Viet Nam
2016,SL.TLF.CACT.ZS,labor_force_participation_rate,76.965,Viet Nam
