country_name,year,agricultural_raw_materials_exports_pct,birth_rate_crude,debt_service_ppg_imf_pct_exports,exports_goods_services_current_usd,exports_to_china,external_debt_stocks_pct_gni,food_exports_pct,fuel_exports_pct,gdp_current_usd,gdp_growth_annual_pct,gdp_per_capita_current_usd,imports_from_china,imports_goods_services_current_usd,labor_force_participation_rate,ores_metals_exports_pct,population_growth_annual_pct,population_total,port_container_throughput,realised_fdi_from_china,log_gdp_current_usd,log_population_total,log_gdp_per_capita_current_usd,log_port_container_throughput,exports_to_china_usd,imports_from_china_usd,china_export_share,china_import_share,china_total_trade_share,china_trade_balance_ratio,development_index,market_size_index,growth_demographic_index,debt_vulnerability_index,commodity_export_index,china_exposure_index_no_teu,china_exposure_index_with_teu
Lao PDR,2017,3.783402157,24.117,8.330274872,5653716801.0,160499.7,93.22181147,20.81540105,26.32641536,17071155481.0,6.892530873,2432.430595,141935.1,6783669899.0,59.782,24.5288042,1.570297226,7018147.0,,1082.0,23.56065606220584,15.76400978104443,7.796646281279004,,1604997000.0,1419351000.0,0.28388351530379385,0.2092305523606375,0.24316587342258966,0.06138380900610644,-0.8672460498242918,-1.721039391499981,0.403417360478539,1.2847213094993999,1.650566305010631,0.08983521384377519,0.2447354476698709
Lao PDR,2018,8.377122557,23.599,10.14160065,6393172198.0,201815.3,91.93200399,17.17468539,24.25197694,18141641090.0,6.247960008,2545.107542,145399.5,7564020651.0,60.989,26.34967625,1.55377802,7128045.0,,51.0,23.621475745567878,15.779547561244168,7.8419281842804605,,2018153000.0,1453995000.0,0.3156731803081022,0.19222514943924365,0.24877122767912255,0.1624809771933685,-0.7835058365873121,-1.691251151012629,0.3668960022920518,1.421098844080679,2.3487370351759638,0.14420554034133953,0.3403001637200813
Lao PDR,2019,10.79167895,23.151,11.44929272,6985183367.0,215700.039,107.8305072,13.46826542,27.0504531,18740561513.0,5.457735092,2589.32081,176245.3821,7518168210.0,62.207,22.47768108,1.525763046,7237636.0,,,23.653956076648242,15.794805191705837,7.8591508847826015,,2157000390.0,1762453820.9999998,0.3087965306952836,0.23442596278382546,0.2702447217245722,0.10066365053907253,-0.7516557482083073,-1.6721459541843653,0.3033181868305902,1.8731832313906773,2.6118415589159034,0.40815722554980566,0.4702567673377143
Lao PDR,2020,10.32832394,22.618,10.00448646,6461495986.0,208828.934,114.4584389,28.0692653,16.86571671,18981805250.0,0.503031829,2583.777307,149127.7597,5815879962.0,62.912,15.73711329,1.493386752,7346533.0,,,23.666746738882345,15.809739059222984,7.857007679687105,,2088289340.0,1491277597.0,0.3231897604710514,0.2564147827575125,0.2915579804806023,0.16678323202424863,-0.7556191958509929,-1.6605224542049895,-0.34327449447907155,1.8820504305466736,2.687707459452803,0.6452601188864325,0.6296114779747116
Lao PDR,2021,10.31330131,22.147,8.500356416,7819856365.0,267570.0,105.3901031,14.53714681,27.41775843,18827148531.0,2.528351005,2526.05105,166677.0,6527097039.0,64.618,12.05664542,1.441416409,7453194.0,,,23.65856573591266,15.824153223311725,7.834412512524115,,2675700000.0,1666770000.0,0.3421674101299174,0.2553616086969287,0.30267540973467566,0.2323401197935737,-0.7974046330993593,-1.656948107559019,-0.024824693545284812,1.555752614604051,2.2590946048529212,0.7428389550315415,0.7222385518716217
Lao PDR,2022,8.413767686,21.693,5.362889222,8604347867.0,335127.0,129.2315561,19.64493884,24.95086705,15468785204.0,2.707426526,2046.404403,226671.0,7982515291.0,66.001,16.10818948,1.409716701,7559007.0,,18.0,23.462089972526925,15.838250390322305,7.623839582405532,,3351270000.0,2266710000.0,0.38948564746586156,0.28395936836546176,0.3387005696306354,0.1930515950572982,-1.1868189664479034,-1.723645535338649,0.04623499137302854,1.7735421649044192,2.185149738871855,1.2096142657492086,1.0752820797605158
Lao PDR,2023,10.34437485,21.271,6.775631143,9697753779.0,375394.0,122.9530168,23.23329908,1.826812899,15843155731.0,3.745681402,2066.949798,334830.0,8596486168.0,65.99,20.17902223,1.392376672,7664993.0,,30.0,23.486003428931856,15.852174157045626,7.633829272013821,,3753940000.0,3348300000.0,0.38709376269471485,0.3894963517144811,0.3882227422716552,0.05711437518304084,-1.1683449474133583,-1.7083435920972492,0.17135532363806494,1.769122489157958,2.0510186586727706,1.95171895230063,1.4757570700872054
Lao PDR,2024,,20.933,,11118080188.0,455468.0,115.4044177,,,16502933121.0,4.130192644,2123.979094,367590.0,9930019522.0,65.989,,1.35832703,7769819.0,,524.0,23.526803966963726,15.865757427349209,7.66104653956386,,4554680000.0,3675900000.0,0.4096642516498461,0.3701805411213974,0.3910367260418114,0.10677011826627042,-1.1180118201087288,-1.6869088417599603,0.19804830521713518,1.5339361757404084,5.427006280404895e-17,1.9384883923289062,1.515289721662764
Malaysia,2013,2.16598303,16.761,0.0,244000000000.0,6015278.6,0.0,10.99291166,22.27238742,323000000000.0,4.693722526,10713.64076,4593059.1,217000000000.0,63.964,3.292700102,1.70946282,30174265.0,20876442.0,28053.0,26.500918160169068,17.222499966739033,9.279273045917964,16.85413190415974,60152786000.0,45930591000.0,0.24652781147540984,0.21166170967741935,0.2301157852494577,0.13406619776065387,1.874588395996711,0.04395594484412786,0.42222137810342714,-1.4258993955663328,0.0277996977964778,-0.09967657976162249,0.5536834954579058
Malaysia,2014,1.760606188,16.724,0.0,250000000000.0,5565224.2622,0.0,11.10808555,22.08948731,338000000000.0,6.006721946,11013.31073,4635338.7874,218000000000.0,64.962,2.877698154,1.714740728,30696137.0,22366426.0,15749.0,26.54631173242943,17.239647374021196,9.306859886603924,16.923071553156298,55652242622.0,46353387874.0,0.222608970488,0.2126302196055046,0.21796074892307693,0.09116021049803365,1.9256049780847584,0.06873846188749638,0.6511360906557153,-1.4258993955663328,-0.06520456402938263,-0.22523049322604358,0.4675264178505532
